Source_Directory,Alloy_Type,Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
AF_MF_ALL,NiTi,Y. F. Zheng; B. B. Zhang; B. L. Wang; Y. B. Wang; L. Li; Q. B. Yang and L. S. Cui,Acta Biomaterialia,Introduction of antibacterial function into biomedical TiNi shape memory alloy by the addition of element Ag,2011.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,96.0,,45.0,,,,,
AF_MF_ALL,NiTi,M. Bitzer; M. Bram; H. Buchkremer and D. Stöver,Journal of materials engineering and performance,Phase transformation behavior of hot isostatically pressed NiTi-X (X= Ag; Nb; W) alloys for functional engineering applications,2012.0,Ni50.8Ti49.2 %,,,,,,,,,,,50.8,,,,,,49.2,,,28.0,,-26.0,,,,,
AF_MF_ALL,NiTi,O. Mercier; E. Torok and B. Tirbonod,International Conference on Martensitic Transformations,Internal friction peaks associated with the martensitic phase transformation of NiTi and NiTiCu alloys,1979.0,Ni49.9Ti50.1 %,,,,,,,,,,,49.9,,,,,,50.1,,,62.0,,18.0,,,,,
AF_MF_ALL,NiTi,Y. Furuya; M. Matsumoto; H. S. Kimura and T. Masumoto,Materials Science and Engineering: A,Thermoelastic phase transformation of Melt Spun Ti50Ni50−xCux (x = 0–20 at.%) ribbons,1991.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,82.0,,32.0,,,,,
AF_MF_ALL,NiTi,T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,89.0,,55.0,,,,,
AF_MF_ALL,NiTi,T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,120.0,,53.0,,,,,
AF_MF_ALL,NiTi,T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,107.0,,51.0,,,,,
AF_MF_ALL,NiTi,T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,107.0,,50.0,,,,,
AF_MF_ALL,NiTi,B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.0Ti50.0 %,,,,,,,,,,,50.0,,,,,,50.0,,,78.0,,-28.0,,,,,
AF_MF_ALL,NiTi,B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.5Ti49.5 %,,,,,,,,,,,50.5,,,,,,49.5,,,53.0,,-78.0,,,,,
AF_MF_ALL,NiTi,B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,Ni50.9Ti49.1 %,,,,,,,,,,,50.9,,,,,,49.1,,,45.0,,-116.0,,,,,
AF_MF_ALL,NiTi,S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,95.0,,54.0,,,,,
AF_MF_ALL,NiTi,S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,Ni48.5Ti51.5 %,,,,,,,,,,,48.5,,,,,,51.5,,,107.0,,37.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni55.8Ti44.2 %,,,,,,,,,,,55.8,,,,,,44.2,,,32.0,,16.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni62.4Ti37.6 %,,,,,,,,,,,62.4,,,,,,37.6,,,28.0,,-1.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni63.0Ti37.0 %,,,,,,,,,,,63.0,,,,,,37.0,,,16.0,,-13.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni64.6Ti35.4 %,,,,,,,,,,,64.6,,,,,,35.4,,,15.0,,-9.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.3Ti30.7 %,,,,,,,,,,,69.3,,,,,,30.7,,,28.0,,1.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.4Ti30.6 %,,,,,,,,,,,69.4,,,,,,30.6,,,27.0,,14.0,,,,,
AF_MF_ALL,NiTi,F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,Ni69.6Ti30.4 %,,,,,,,,,,,69.6,,,,,,30.4,,,26.0,,-5.0,,,,,
AF_MF_ALL,NiTi,S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,118.0,,51.0,,,,,
AF_MF_ALL,NiTi,S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,Ni48.7Ti51.3 %,,,,,,,,,,,48.7,,,,,,51.3,,,111.0,,50.0,,,,,
